Player,Team,Minutes,Starter,Status,Play Prob,Position
Daniel Gafford,DAL,15.0,0,UNK,1.0,BIG
Lonzo Ball,CLE,15.0,0,UNK,1.0,G
Jamaree Bouyea,PHX,15.0,0,UNK,1.0,G
Branden Carlson,OKC,15.0,0,UNK,1.0,BIG
Thomas Bryant,CLE,15.0,0,UNK,1.0,BIG
Jaxson Hayes,LAL,15.0,0,UNK,1.0,BIG
Jonas Valančiūnas,DEN,15.0,0,UNK,1.0,BIG
Brandon Williams,DAL,15.0,0,UNK,1.0,G
Tyrese Proctor,CLE,15.0,0,UNK,1.0,G
Asa Newell,ATL,15.0,0,UNK,1.0,W
Dylan Harper,SAS,15.0,0,UNK,1.0,G
Kenrich Williams,OKC,15.0,0,UNK,1.0,W
Mohamed Diawara,NYK,15.0,0,UNK,1.0,W
Gary Harris,MIL,15.0,0,UNK,1.0,G
T.J. McConnell,IND,15.0,0,UNK,1.0,G
Garrison Mathews,IND,15.0,0,UNK,1.0,G
Ariel Hukporti,NYK,15.0,0,UNK,1.0,BIG
Bones Hyland,MIN,15.0,0,UNK,1.0,G
Alex Caruso,OKC,15.0,0,UNK,1.0,G
Nae'Qwan Tomlin,CLE,15.0,0,UNK,1.0,W
Trey Jemison III,NYK,15.0,0,UNK,1.0,BIG
Daniss Jenkins,DET,15.0,0,UNK,1.0,G
Tidjane Salaün,CHA,15.0,0,UNK,1.0,W
Tre Johnson,WAS,15.0,0,UNK,1.0,G
Cam Christie,LAC,14.999999999999998,0,UNK,1.0,G
Andre Jackson Jr.,MIL,14.999999999999998,0,UNK,1.0,G
Cody Williams,UTA,14.999999999999998,0,UNK,1.0,W
Nikola Jović,MIA,14.999999999999996,0,UNK,1.0,W
Justin Champagnie,WAS,14.93999999999999,0,UNK,1.0,W
Kyle Anderson,UTA,14.933386417234832,0,UNK,1.0,W
Johnny Furphy,IND,14.928961691656278,0,UNK,1.0,G
Jeremy Sochan,SAS,14.863934947573272,0,UNK,1.0,W
Lindy Waters III,SAS,14.860065052426716,0,UNK,1.0,W
Olivier-Maxence Prosper,MEM,14.852978027756519,0,UNK,1.0,W
